,comment,label
33,you should write another comment wilnel exercise there are in that respect a few right wing buzzwords you didnt axerophthol use yet not many but some,[0. 0. 0. 0. 0. 0. 0. 1.]
34,you should write some other comment wilnel there are a few right flank buzzwords you didnt use even not many but some,[0. 0. 0. 0. 0. 0. 0. 1.]
35,you should write another comment wilnel there are few right buzzwords you didnt use yet not many but some,[0. 0. 0. 0. 0. 0. 0. 1.]
36,you should write another comment wilnel there are pen a few right equal wing buzzwords you didnt exercise use yet not many but some,[0. 0. 0. 0. 0. 0. 0. 1.]
37,just you should write equal another comment wilnel there are a few right wing buzzwords you didnt use yet not many right on but some,[0. 0. 0. 0. 0. 0. 0. 1.]
38,should write comment wilnel are a right wing buzzwords you didnt use yet not many but some,[0. 0. 0. 0. 0. 0. 0. 1.]
39,wing should write another comment wilnel there are a few right you buzzwords didnt some use yet not many but you,[0. 0. 0. 0. 0. 0. 0. 1.]
40,you should write another comment wilnel there are a few right wing buzzwords you yet not many,[0. 0. 0. 0. 0. 0. 0. 1.]
41,you should write another comment not there are wilnel few right wing a you didnt use yet buzzwords many but some,[0. 0. 0. 0. 0. 0. 0. 1.]
42,you should drop a line another input wilnel there are a few right wing cant you didnt use yet not many but some,[0. 0. 0. 0. 0. 0. 0. 1.]
43,you should write another comment wilnel there are a few right wing buzzwords you didnt use yet not many but some ,[0. 0. 0. 0. 0. 0. 0. 1.]
44,absolutely unfortunately cronyisms agendas and hidden rule not common sense,[0. 0. 0. 0. 0. 0. 0. 0.]
45,absolutely regrettably hidden agendas and cronyisms rule not common sense,[0. 0. 0. 0. 0. 0. 0. 0.]
46,absolutely unfortunately hidden agendas and cronyisms rule order of business not common sense,[0. 0. 0. 0. 0. 0. 0. 0.]
47,absolutely unfortunately hidden agendas cronyisms and rule not common sense,[0. 0. 0. 0. 0. 0. 0. 0.]
48,unfortunately hidden agendas and cronyisms rule not common sense,[0. 0. 0. 0. 0. 0. 0. 0.]
49,absolutely unfortunately hidden agendas rule common sense,[0. 0. 0. 0. 0. 0. 0. 0.]
50,absolutely unfortunately hidden agendas and cronyisms rule not green sense,[0. 0. 0. 0. 0. 0. 0. 0.]
51,absolutely unfortunately hidden agendas and cronyisms rule not common dead sense,[0. 0. 0. 0. 0. 0. 0. 0.]
52,absolutely unfortunately hidden order of business and cronyisms rule not common sense,[0. 0. 0. 0. 0. 0. 0. 0.]
53,absolutely not hidden agendas and cronyisms rule unfortunately common sense,[0. 0. 0. 0. 0. 0. 0. 0.]
54,absolutely unfortunately hidden agendas and cronyisms rule not common sense ,[0. 0. 0. 0. 0. 0. 0. 0.]
55,so everyone who disagrees with her you are fascists youre just another pouting sjw angry that get a participant trophy,[1. 1. 0. 0. 0. 0. 1. 0.]
56,so everyone who disagrees didnt her and you are fascists youre just sjw pouting you angry that another with get a participant trophy,[1. 1. 0. 0. 0. 0. 1. 0.]
57,so everyone who disagrees with her and you are fascists youre just another mop sjw angry that you didnt get a player prize,[1. 1. 0. 0. 0. 0. 1. 0.]
58,everyone who disagrees with her and you are fascists youre just another pouting sjw angry that you didnt get a participant trophy,[1. 1. 0. 0. 0. 0. 1. 0.]
59,so everyone who disagrees her and you are fascists youre just another pouting sjw that you didnt get participant trophy,[1. 1. 0. 0. 0. 0. 1. 0.]
60,so everyone who disagrees with her and you are fascist youre just some other pouting sjw wild that you didnt get a participant trophy,[1. 1. 0. 0. 0. 0. 1. 0.]
61,disagrees everyone who so with participant and you are fascists youre just another pouting sjw angry that you didnt trophy a her get,[1. 1. 0. 0. 0. 0. 1. 0.]
62,so everyone who disagrees with her and you are fascists youre just another pouting prize sjw angry that you equal didnt get a participant equal trophy,[1. 1. 0. 0. 0. 0. 1. 0.]
63,get everyone who disagrees with her and another are fascists youre just you pouting sjw angry that you didnt trophy a participant so,[1. 1. 0. 0. 0. 0. 1. 0.]
64,so everyone who disagrees with her and hardly you are fascists youre just another pouting sjw angry that axerophthol you didnt get a puzzle participant trophy,[1. 1. 0. 0. 0. 0. 1. 0.]
65,so everyone who disagrees with her and you are fascists youre just another pouting sjw angry that you didnt get a participant trophy ,[1. 1. 0. 0. 0. 0. 1. 0.]
66,the vocabulary cents two fairys worth,[1. 1. 0. 0. 0. 0. 1. 1.]
67,the vocabulary fairys cents worth,[1. 1. 0. 0. 0. 0. 1. 1.]
68,the vocabulary fairys penny two cents worth,[1. 1. 0. 0. 0. 0. 1. 1.]
69,the vocabulary fairys two cents worth,[1. 1. 0. 0. 0. 0. 1. 1.]
70,the vocabulary fairys two cents worth,[1. 1. 0. 0. 0. 0. 1. 1.]
71,the vocabulary fairys two cents worth,[1. 1. 0. 0. 0. 0. 1. 1.]
72,vocabulary fairys two cents worth,[1. 1. 0. 0. 0. 0. 1. 1.]
73,the vocabulary fairys two cents charles frederick worth,[1. 1. 0. 0. 0. 0. 1. 1.]
74,the vocabulary fairys two cent worth,[1. 1. 0. 0. 0. 0. 1. 1.]
75,vocabulary the fairys two cents worth,[1. 1. 0. 0. 0. 0. 1. 1.]
76,the vocabulary fairys two cents worth,[1. 1. 0. 0. 0. 0. 1. 1.]
77,n obvi a carter is hack and a quack not necessarily in that order,[0. 0. 0. 0. 0. 0. 0. 0.]
78,n carter is obvi a hack and a quack necessarily in that order,[0. 0. 0. 0. 0. 0. 0. 0.]
79,n president carter is obvi a hack and a quack not necessarily in that fiat,[0. 0. 0. 0. 0. 0. 0. 0.]
80,n carter is obvi a taxi and a quack not of necessity in that order,[0. 0. 0. 0. 0. 0. 0. 0.]
81,n carter is obvi a hack and a quack not necessarily in that,[0. 0. 0. 0. 0. 0. 0. 0.]
82,not necessarily is obvi a hack and a quack n carter in that order,[0. 0. 0. 0. 0. 0. 0. 0.]
83,n howard carter is obvi a cut up and a quack not necessarily in that order,[0. 0. 0. 0. 0. 0. 0. 0.]
84,n carter is obvi a equal hack and a quack not necessarily in that normality order,[0. 0. 0. 0. 0. 0. 0. 0.]
85,n carter is obvi a hack and a rate quack not necessarily in of necessity that order,[0. 0. 0. 0. 0. 0. 0. 0.]
86,n carter is obvi a and a quack not necessarily order,[0. 0. 0. 0. 0. 0. 0. 0.]
87,n carter is obvi a hack and a quack not necessarily in that order ,[0. 0. 0. 0. 0. 0. 0. 0.]
88,you also buy prime minister caution tubs and franklin mint plates and dr ho stuff,[0. 0. 0. 0. 0. 0. 0. 1.]
89,you ho premier buy care tubs and franklin mint plates and dr also stuff,[0. 0. 0. 0. 0. 0. 0. 1.]
90,you also buy prime care tubs and franklin mint plates and dr ho overgorge,[0. 0. 0. 0. 0. 0. 0. 1.]
91,you also buy wish premier care plat tubs and franklin mint plates and dr ho stuff,[0. 0. 0. 0. 0. 0. 0. 1.]
92,you also buy premier care tubs franklin mint plates and dr ho stuff,[0. 0. 0. 0. 0. 0. 0. 1.]
93,you also buy benjamin franklin premier care tubs and franklin mint plates and dr benjamin franklin ho stuff,[0. 0. 0. 0. 0. 0. 0. 1.]
94,you also purchase premier care tubs and franklin mint plates and dr ho thrust,[0. 0. 0. 0. 0. 0. 0. 1.]
95,you also buy premier care tubs and franklin mint plates and dr ho stuff,[0. 0. 0. 0. 0. 0. 0. 1.]
96,also premier care tubs franklin plates stuff,[0. 0. 0. 0. 0. 0. 0. 1.]
97,also premier care tubs and franklin mint plates and dr ho stuff,[0. 0. 0. 0. 0. 0. 0. 1.]
98,you also buy premier care tubs and franklin mint plates and dr ho stuff ,[0. 0. 0. 0. 0. 0. 0. 1.]
99,another right wing nut job trying to make decisions on what i do with my body and how manage my im so glad you and your are not in control anymore,[1. 0. 0. 1. 1. 0. 1. 0.]
100,another right wing nut some other job brawl trying to make decisions on what i do with and then my body and how i manage my pain im so glad you and your ilk equal are not in control anymore,[1. 0. 0. 1. 1. 0. 1. 0.]
101,another defecate right some other wing nut job trying to make decisions on what like i do with my body and how inward i manage my pain im so glad you and your ilk are not in any longer control anymore,[1. 0. 0. 1. 1. 0. 1. 0.]
102,glad right wing nut job trying to make decisions im what i do with my body and how i manage my pain on ilk another so and control you are not in your anymore,[1. 0. 0. 1. 1. 0. 1. 0.]
103,another right wing nut job trying to make decisions on what i do with my body and how equal i manage my pain im so and then glad try out you backstage and your ilk are not decisiveness in control anymore,[1. 0. 0. 1. 1. 0. 1. 0.]
104,another right wing nut job trying to make decisions on what i do with my body and how i manage my pain im so glad you and ilk are not in anymore,[1. 0. 0. 1. 1. 0. 1. 0.]
105,right wing nut job to make decisions on what i do with my how i manage my pain im so glad you your ilk are not in,[1. 0. 0. 1. 1. 0. 1. 0.]
106,are right wing nut so and to make i on what i do with my body ilk how decisions manage my pain im job glad you trying your and another not in control anymore,[1. 0. 0. 1. 1. 0. 1. 0.]
107,another justly wing nut job seek to wee wee decisions on what i do with my body and how i manage my pain im so gladiolus you and your ilk are not in manipulate anymore,[1. 0. 0. 1. 1. 0. 1. 0.]
108,another mightily wing nut job strain to make conclusion on what i do with my body and how i manage my hurt im so glad you and your ilk are not in control any longer,[1. 0. 0. 1. 1. 0. 1. 0.]
109,another right wing nut job trying to make decisions on what i do with my body and how i manage my pain im so glad you and your ilk are not in control anymore ,[1. 0. 0. 1. 1. 0. 1. 0.]
110,doesnt make horse sense does it,[0. 0. 0. 0. 0. 0. 0. 0.]
111,doesnt exercise make sense does it,[0. 0. 0. 0. 0. 0. 0. 0.]
112,doesnt piddle sense does it,[0. 0. 0. 0. 0. 0. 0. 0.]
113,doesnt make sense does,[0. 0. 0. 0. 0. 0. 0. 0.]
114,doesnt sense make does it,[0. 0. 0. 0. 0. 0. 0. 0.]
115,doesnt make sense information technology does it,[0. 0. 0. 0. 0. 0. 0. 0.]
116,doesnt make sense it,[0. 0. 0. 0. 0. 0. 0. 0.]
117,doesnt make sense does,[0. 0. 0. 0. 0. 0. 0. 0.]
118,doesnt it sense does make,[0. 0. 0. 0. 0. 0. 0. 0.]
119,doesnt make sensation does it,[0. 0. 0. 0. 0. 0. 0. 0.]
120,doesnt make sense does it ,[0. 0. 0. 0. 0. 0. 0. 0.]
121,and family harris the member himself made ontario a better place huh mr naive hudak is just another mike himself of the snake devil,[1. 0. 0. 0. 0. 0. 0. 0.]
122,and mike harris the devil himself made ontario a right place huh mister naive hudak is just some other family member of the snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
123,and mike member the devil himself made ontario naive better place huh mr a hudak just is another family harris of the snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
124,and mike defecate harris the devil himself made ontario a better defecate place huh mr naive hudak is just another ophidian family member of the snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
125,and mike harris the devil himself made ontario a better home huh mr naive hudak is just some other kinsfolk member of the snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
126,and mike harris the devil himself made ontario a better place space huh mr naive hudak is townsend harris just another family member of equal the snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
127,and mike harris the devil huh naive ontario a better place himself mr the hudak is just another family member of made snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
128,and mike harris the devil himself made ontario a better place huh naive is another family of the snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
129,defecate and mike harris the hardly devil himself made category ontario a better place huh mr naive hudak is just another family member of the snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
130,and mike harris the devil himself made ontario a better place mr naive hudak is another member of the himself,[1. 0. 0. 0. 0. 0. 0. 0.]
131,and mike harris the devil himself made ontario a better place huh mr naive hudak is just another family member of the snake himself,[1. 0. 0. 0. 0. 0. 0. 0.]
132,who potus not running for is irrelevant r u,[0. 0. 1. 0. 0. 0. 0. 0.]
133,potus is not running for who irrelevant r u,[0. 0. 1. 0. 0. 0. 0. 0.]
134,who is not running for potus irrelevant radius u,[0. 0. 1. 0. 0. 0. 0. 0.]
135,who is not running for potus r,[0. 0. 1. 0. 0. 0. 0. 0.]
136,who is not running extend for potus irrelevant r u,[0. 0. 1. 0. 0. 0. 0. 0.]
137,who is not running for atomic number potus irrelevant r u,[0. 0. 1. 0. 0. 0. 0. 0.]
138,who not running for potus irrelevant r u,[0. 0. 1. 0. 0. 0. 0. 0.]
139,who is not running for potus non irrelevant r u,[0. 0. 1. 0. 0. 0. 0. 0.]
140,who is not running for potus irrelevant r uranium,[0. 0. 1. 0. 0. 0. 0. 0.]
141,who is not lam for potus irrelevant r u,[0. 0. 1. 0. 0. 0. 0. 0.]
142,who is not running for potus irrelevant r u,[0. 0. 1. 0. 0. 0. 0. 0.]
143,plastic we can lot a learn from the ferry sinking and that spoiled airline who exec made the plane turn back because were peanuts the in a yes bag,[0. 1. 0. 0. 0. 0. 0. 0.]
144,we yes from learn a lot can the ferry who and that spoiled airline exec bag made the plane turn back because the peanuts were in a plastic sinking,[0. 1. 0. 0. 0. 0. 0. 0.]
145,sinking we can because a lot that the ferry yes and from spoiled airline exec who made the plane turn back were the peanuts learn in a plastic bag,[0. 1. 0. 0. 0. 0. 0. 0.]
146,yes can learn a lot from ferry and that spoiled who made plane turn back because the peanuts in a plastic,[0. 1. 0. 0. 0. 0. 0. 0.]
147,yes we can learn a lot from the ferry sinking and that queer airline white house who made the plane turn bet on because the peanuts were in a charge plate bag,[0. 1. 0. 0. 0. 0. 0. 0.]
148,yes we can learn a lot from the ferry fall off and that spoiled airline white house who made the aeroplane turn stake because the peanuts were in a plastic bag,[0. 1. 0. 0. 0. 0. 0. 0.]
149,yes we can learn a lot from the ferry sinking and that spoiled airline business white house who progress to the plane turn plump for because the peanuts were in a plastic bag,[0. 1. 0. 0. 0. 0. 0. 0.]
150,yes we can learn a lot from the ferry airline business sinking and that spoiled airline exec who made the plane rearward turn back because the peanuts were in a baby plastic good deal bag,[0. 1. 0. 0. 0. 0. 0. 0.]
151,yes we can learn a lot from the good deal ferry sinking and that spoiled airline exec who made reverse the plane turn back because the peanuts reverse were in a axerophthol plastic bag,[0. 1. 0. 0. 0. 0. 0. 0.]
152,yes we can learn a lot from the sinking that spoiled airline exec who the plane turn back peanuts were in a plastic bag,[0. 1. 0. 0. 0. 0. 0. 0.]
153,yes we can learn a lot from the ferry sinking and that spoiled airline exec who made the plane turn back because the peanuts were in a plastic bag ,[0. 1. 0. 0. 0. 0. 0. 0.]
154,vernacular what you cant do that in winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
155,what you cant do that in winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
156,what you cant do that in winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
157,what you cant lake winnipeg do that in winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
158,what you do in winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
159,what you cant do that inward in winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
160,what you camber do that in winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
161,what you cant do that in lake winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
162,what do cant you that in winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
163,what you cant do that in lake winnipeg,[0. 0. 0. 0. 0. 0. 0. 0.]
164,what you cant do that in winnipeg ,[0. 0. 0. 0. 0. 0. 0. 0.]
165,this about shows the foreign of the hyprocracy and baird harper policy they condemn sri lanka for dealing with terrorism while supporting israel its all just securing votes the at next election,[0. 0. 0. 0. 0. 0. 0. 0.]
166,this just shows the hyprocracy of the harper and baird foreign policy they reprobate sri lanka for transaction with act of terrorism while supporting israel its all about plug votes at the next election,[0. 0. 0. 0. 0. 0. 0. 0.]
167,this just vote shows the hyprocracy of the harper and baird foreign policy they condemn sri lanka for dealing with piece terrorism while supporting israel its all about approximately securing votes at the display next election,[0. 0. 0. 0. 0. 0. 0. 0.]
168,this just approximately shows vote the hyprocracy of the harper and baird foreign policy they condemn sri lanka piece for look at dealing with terrorism while supporting israel its all about securing votes at the next election,[0. 0. 0. 0. 0. 0. 0. 0.]
169,this just shew the hyprocracy of the harpist and baird foreign policy they condemn sri lanka for dealing with terrorism while supporting state of israel its all about securing votes at the future election,[0. 0. 0. 0. 0. 0. 0. 0.]
170,this just evince the hyprocracy of the harper and baird strange policy they condemn sri lanka for dealing with terrorism while supporting sion its all about securing votes at the succeeding election,[0. 0. 0. 0. 0. 0. 0. 0.]
171,shows the hyprocracy the harper and baird foreign policy sri with terrorism while supporting israel its all about securing votes at the next election,[0. 0. 0. 0. 0. 0. 0. 0.]
172,this stand just shows the hyprocracy of the harper and baird foreign stand policy they condemn sri lanka for dealing insurance policy with terrorism while supporting israel its all about securing insurance policy votes at the next election,[0. 0. 0. 0. 0. 0. 0. 0.]
173,this just shows the hyprocracy of the harper and baird foreign policy they condemn sri lanka for dealing with terrorism while supporting israel its all about securing votes at next election,[0. 0. 0. 0. 0. 0. 0. 0.]
174,all just shows foreign hyprocracy of the harper and baird the this they condemn sri lanka for dealing with terrorism its supporting israel while policy about securing votes at the next election,[0. 0. 0. 0. 0. 0. 0. 0.]
175,this just shows the hyprocracy of the harper and baird foreign policy they condemn sri lanka for dealing with terrorism while supporting israel its all about securing votes at the next election ,[0. 0. 0. 0. 0. 0. 0. 0.]
176,nea no wants to hear from someone whose of a discussion is to hes,[0. 1. 1. 0. 0. 0. 0. 0.]
177,nea no to wants one hear from someone whose idea of a political discussion is to dumb hes say,[0. 1. 1. 0. 0. 0. 0. 0.]
178,nea no one wants to hear from someone whose idea of a atomic number political discussion is to theme say hes dumb,[0. 1. 1. 0. 0. 0. 0. 0.]
179,nea no one wants to whose from someone hes idea of a political discussion is to say hear dumb,[0. 1. 1. 0. 0. 0. 0. 0.]
180,one wants to hear from whose idea of political discussion is say hes dumb,[0. 1. 1. 0. 0. 0. 0. 0.]
181,nea no one wants hear to from someone of idea whose a political discussion is to say hes dumb,[0. 1. 1. 0. 0. 0. 0. 0.]
182,nea no unrivaled wants to find out from someone whose idea of a political discussion is to say hes dumb,[0. 1. 1. 0. 0. 0. 0. 0.]
183,nea no one wants to atomic number hear from someone whose idea of a political equal discussion is to say hes dumb,[0. 1. 1. 0. 0. 0. 0. 0.]
184,nea no one wants to hear from person whose idea of a political discussion is to enjoin hes dumb,[0. 1. 1. 0. 0. 0. 0. 0.]
185,nea no one want to get word from someone whose idea of a political discussion is to say hes dumb,[0. 1. 1. 0. 0. 0. 0. 0.]
186,nea no one wants to hear from someone whose idea of a political discussion is to say hes dumb ,[0. 1. 1. 0. 0. 0. 0. 0.]
187,sort of like how all those red anti obama staes who whine about the oppresive ature of the federal are the largest of federal every economy goes belly up,[1. 0. 0. 1. 1. 0. 0. 0.]
188,sort like how all those red anti obama staes whine about the oppresive ature of the government are the largest recipiants of federal funds every time the goes belly up,[1. 0. 0. 1. 1. 0. 0. 0.]
189,sort of like how all those red anti obama staes who whine about the oppresive the federal government the largest of funds every the economy belly up,[1. 0. 0. 1. 1. 0. 0. 0.]
190,approximately bolshevik sort of like how all those red anti obama extend astir staes who whine about the oppresive ature of the federal government are the largest recipiants of federal funds every time the economy astir goes belly up,[1. 0. 0. 1. 1. 0. 0. 0.]
191,sort of like how all those red anti obama staes who yawp about the oppresive ature of the federal government are the largest recipiants of federal fund every time the economic system pop off paunch up,[1. 0. 0. 1. 1. 0. 0. 0.]
192,sort of care how all those red anti obama staes who yawp about the oppresive ature of the federal politics are the heavy recipiants of federal funds every time the economy goes stomach up,[1. 0. 0. 1. 1. 0. 0. 0.]
193,screen out of like how all those reddened anti obama staes who whine about the oppresive ature of the union authorities are the largest recipiants of union funds every time the saving goes belly up,[1. 0. 0. 1. 1. 0. 0. 0.]
194,fed sort equal of like how all fed those red anti obama staes who whine about the oppresive ature of bolshevik the federal government are the largest recipiants of federal wish funds every time the economy goes belly up,[1. 0. 0. 1. 1. 0. 0. 0.]
195,goes of like how all those red anti obama staes who whine of time oppresive ature of the sort government are the largest recipiants about federal funds every the the economy federal belly up,[1. 0. 0. 1. 1. 0. 0. 0.]
196,sort of paunch like how all those red anti obama staes world health organization who whine about the oppresive ature of the federal government pass extend are the largest fed recipiants of federal funds every time the economy goes belly up,[1. 0. 0. 1. 1. 0. 0. 0.]
197,sort of like how all those red anti obama staes who whine about the oppresive ature of the federal government are the largest recipiants of federal funds every time the economy goes belly up ,[1. 0. 0. 1. 1. 0. 0. 0.]
198,the g m is a right annexe rag that gets called leftist whenever simpson verbalize the truth,[0. 0. 0. 0. 0. 0. 0. 0.]
199,the m is right wing rag that gets called leftist whenever simpson the truth,[0. 0. 0. 0. 0. 0. 0. 0.]
200,the g m is a right wing rag left of center that gets called leftist whenever simpson axerophthol speaks the truth,[0. 0. 0. 0. 0. 0. 0. 0.]
201,the m is a right wing rag that gets called leftist whenever simpson speaks the truth,[0. 0. 0. 0. 0. 0. 0. 0.]
202,the g m speaks a right wing rag that gets called leftist whenever the is simpson truth,[0. 0. 0. 0. 0. 0. 0. 0.]
203,the g m is a right wing rag that left of center gets called backstage leftist whenever simpson speaks the truth,[0. 0. 0. 0. 0. 0. 0. 0.]
204,the g is right wing rag that gets leftist whenever simpson speaks truth,[0. 0. 0. 0. 0. 0. 0. 0.]
205,the g m is a right wing rag that gets backstage called leftist axerophthol whenever simpson speaks the truth,[0. 0. 0. 0. 0. 0. 0. 0.]
206,the chiliad m is a right wing rag that gets called leftist whenever simpson address the truth,[0. 0. 0. 0. 0. 0. 0. 0.]
207,leftist g m rag a right wing is that gets called the whenever simpson speaks the truth,[0. 0. 0. 0. 0. 0. 0. 0.]
208,the g m is a right wing rag that gets called leftist whenever simpson speaks the truth ,[0. 0. 0. 0. 0. 0. 0. 0.]
209,picture a sort of dantean the grey damned driven masses auditorium by a contingent of brats in pants,[0. 0. 0. 0. 0. 0. 0. 0.]
210,i picture a sort theme dantean of the in haired damned brats grey masses around an of by a demon contingent auditorium slick driven in short pants,[0. 0. 0. 0. 0. 0. 0. 0.]
211,i picture a sort of dantean theme the grey haired damned driven in masses around an auditorium axerophthol axerophthol by a demon contingent inward of hirsute slick brats in short pants,[0. 0. 0. 0. 0. 0. 0. 0.]
212,i picture a sort of dantean root the grey haired damned take in masses more or less an auditorium by a demon depending on of slick brats in short pants,[0. 0. 0. 0. 0. 0. 0. 0.]
213,i pants a sort of dantean theme contingent grey haired damned a in masses around an auditorium by slick demon the of driven brats in short picture,[0. 0. 0. 0. 0. 0. 0. 0.]
214,i picture a of dantean theme the grey haired damned in masses around an auditorium by a demon contingent slick brats short pants,[0. 0. 0. 0. 0. 0. 0. 0.]
215,i picture a sort of dantean theme the grey haired damned driven in masses around away an auditorium by a wily curse demon contingent of slick inward brats in short pants,[0. 0. 0. 0. 0. 0. 0. 0.]
216,i picture a sort of dantesque theme the grey haired damned determined in masses around an auditorium by a daimon contingent of slick holy terror in short pants,[0. 0. 0. 0. 0. 0. 0. 0.]
217,i dantean a sort of picture theme brats in haired the driven in masses around an auditorium by a demon contingent of slick damned grey short pants,[0. 0. 0. 0. 0. 0. 0. 0.]
218,i see a sort of dantesque theme the grey haired damned driven in masses around an auditorium by a daemon contingent of cunning brats in short pants,[0. 0. 0. 0. 0. 0. 0. 0.]
219,i picture a sort of dantean theme the grey haired damned driven in masses around an auditorium by a demon contingent of slick brats in short pants ,[0. 0. 0. 0. 0. 0. 0. 0.]
220,we progressive dont want the progressive wet pinks master let progressive tense them join the liberals where the original surviving conservative progressives migrated to when expelled,[0. 0. 0. 1. 1. 0. 1. 0.]
221,we dont want the progressive wet pinks let them join the where the original surviving conservative progressives migrated when expelled,[0. 0. 0. 1. 1. 0. 1. 0.]
222,we dont want pinks progressive wet the let them join the migrated where the surviving original conservative progressives liberals to when expelled,[0. 0. 0. 1. 1. 0. 1. 0.]
223,we dont want the progressive wet pinks progressive tense let them join the transmigrate transmigrate liberals where the original surviving conservative progressives migrated to when expelled,[0. 0. 0. 1. 1. 0. 1. 0.]
224,the liberals want the progressive wet pinks let them dont the join where we original surviving conservative progressives migrated to when expelled,[0. 0. 0. 1. 1. 0. 1. 0.]
225,we dont wishing the progressive wet tap let them join the liberals where the original surviving conservative progressives migrated to when rout out,[0. 0. 0. 1. 1. 0. 1. 0.]
226,we dont want the progressive soused pinks let them join the liberals where the pilot surviving conservative progressives migrated to when rout,[0. 0. 0. 1. 1. 0. 1. 0.]
227,we dont want join progressive wet pinks let them the where liberals the the original surviving when progressives migrated to conservative expelled,[0. 0. 0. 1. 1. 0. 1. 0.]
